projectid,is_exciting,fully_funded
ffff97ed93720407d70a2787475932b0,f,t
fffec078a2249c2365f3086a6eac7e4a,f,t
fffe426c60834b0ba2eb05f759d854da,f,t
fffcfa4388e8ac482c44734bffa891c8,f,t
fffb9efa799079c04eb541ebe3898ea6,f,f
fffacacc3aa2cb066ff88af5161ef61c,t,t
fff74689c0f1515d1b5054f8b279666e,f,t
fff6df6b3cba00f54a7d64492c97f847,f,t
fff5f6888ae95f5dc7e6ed20568d7202,f,t
fff5b9c828ae5c22ecb59924857b31ce,f,t
fff5a909b37cee1244379e45e978eaf7,f,t
fff2880da80e1b5443c838599d92e95d,f,t
fff23df10e248298e0342c2e604569e7,f,t
fff1cbf1b7b26568ba57bb92992048b9,f,f
ffefe6dfe76556eb6eaacb79713bba43,f,t
ffee05b606f6055bc68199c68ce13b73,f,t
ffec34a2b1869a9382514e981718c872,f,t
ffebf0af9cb302bce5a0dd7ca3c59a82,f,t
ffea73416900bf93781eecbe7a900c02,f,f
ffe9dc323dcb8403e4e34d965e7cda37,f,f
ffe915b1942c508ed50bbd05d5e98739,f,f
ffe787d47956a6a506deb6f63ee35ffe,f,t
ffe73e3028afc456ae03be5bce3ec6c0,f,f
ffe69828dc6af42832da561bcb48ae20,f,f
ffe67f2cf882b4525a2db36a51e2fc8f,f,f
ffe61ef6cec0b05413f563df6dcdf4bb,f,t
ffe61dd63f570dd9473616c86dda5aac,f,t
ffe5bce92cf4d72711774dc178223672,f,t
ffe485efbf1f0373e883c5b7f01967ea,f,t
ffe45656c01d403c8129c35d2c65f3c7,f,t
ffe38bc3c3c9a9da9b901740ab34721d,f,t
ffe37f915069e3bae7bb36f9ed4a5267,f,t
ffe30d5617287d7255c20a61fbea8619,f,t
ffe1e434d9a579ceab8fcce9f01b7a0b,f,t
ffe18655b72bf8f9d6974730cf0d7167,f,t
ffe1181896c36635dbb414561b6ea772,t,t
ffe09e83bc4760cdce7dbaf58bd42fa2,f,t
ffe094e78abc6d7511e2f473f3e9cab6,f,t
ffe083387573b636c1bd08c49ec42c5a,f,t
ffdff95336e8a11afe8f1cce3694ac98,f,t
ffdf507f91ac6dd7c4190e675548c6eb,f,t
ffdef40011c0a6097c3f6d57437cf523,f,t
ffddebe52ec7477c281bcee24dc120c6,f,t
ffdcff28df3f3623ad187079012d0970,f,t
ffdbed6c20e687db61c4db7aa6b812ee,f,f
ffdb665b76c06473b3f203bf43fb2197,f,t
ffdac9c0e83f1b96a7ee24806a4e1ef6,f,t
ffda8dcbc7117b74d93bf629fd7f242b,f,f
ffd88aa67772f50db4b8a34ee2fe1870,f,t
ffd6aecf107ee5587a85a303f8691b14,f,f
ffd628baefba699b54b0408b6c9483c4,f,t
ffd4c6a0faef430b8af4128c09022682,f,t
ffd3e8ba5b6188f80e4495874125e11b,f,t
ffd2f10eb3801ed7bc533277d1ede3ef,t,t
ffcfd8b44299262ecf3c7dea2ff4df5f,f,f
ffcf5daa873127925e97852a6bf81612,f,t
ffce3c1e1f8b22ae90f9ff71ef3ca8c4,f,f
ffcdfd7335b4fe820760320a86d15e70,f,t
ffccfe56e21863b45e13bfb88701b189,t,t
ffcabc3f130f9c52e9e87f30e236c807,f,t
ffc945532b49dfa6d65f0bc11231513c,f,t
ffc88c51ef2f6528d07ef6678acc384c,f,f
ffc8455ba5cb62f405110376157a91cc,f,f
ffc7b1be222b20d8968b78d3b23e5d3e,f,t
ffc5e7f219a1d810c26a93772eca9330,f,t
ffc458aad90a4c25c2a5a0ace6816547,f,t
ffc2ab9bd405000872a1fb44cf1a6a70,f,t
ffc291c9506574860eb536e928345935,f,f
ffc1ff19551d8ece7e5f75855c4fb9ad,f,f
ffc1ea52c41c2be4b08dbc91be235ba9,f,f
ffc07dc09576714d0aaba5a535d5e653,f,f
ffc06078d3379abbb8737ca74bdf2dfb,f,t
ffbfefab8450d3994720d699be62cef5,f,t
ffbfb8e5a4c95439d97a04ff2b2c1f3a,f,t
ffbdc8cae956978a4cdefa31903038a5,f,t
ffbd00e5a5b44e2c5c8ba618859d62de,f,t
ffbb2ea91e0b496a50c08d2e67819ce4,f,t
ffba4fcba8971a81a788ef9a3d8f6b3b,f,t
ffb8dec52cffcb954762a17cb4d222f0,f,t
ffb863fbdf9bc45c4dbcb730fc604165,f,t
ffb770e3cb7877f08cbe93f19d83a677,f,t
ffb6200062d2a05fb690f5d4ef50cf24,f,f
ffb377df656eb44ede7c927124b634e8,f,f
ffb375b231c18c7385d179213240157a,f,t
ffb10168c23fecae345eeb31d9966476,f,t
ffaf49f755c131290e9a60aa1d4a7e06,f,t
ffaecf3699e7267ba61d2322bdb75fc7,f,t
ffacea56706b1c6321c74a4aa06794e4,f,f
ffacadd66e2b1b6d639c08c118179943,f,t
ffac9516f05a73fc383dfb0dadf0e067,f,t
ffaad8881abbd1b2464342768afcda79,f,t
ffaa23483dbc02c68c7dae8341b933ac,f,t
ffa9cc5db82339cff5ce915103ea8834,f,t
ffa7dd2544b96b27a08d001b93a49fbe,f,t
ffa7bca150739442dbbfa83cd37b867d,f,t
ffa6efe2af783d6070ef50b87a8a0c16,f,t
ffa62f59525a0168ee66b8a64013f4dd,f,f
ffa4f5ed8398e920e02e151ef5e3c869,f,t
ffa4d51a4255ac3c5fb6b46cc7fc9297,f,t
ffa49dd7ee05da6f63d61df6c5c4c7ed,f,t
ffa418611c9f79dcc155da2bad1a3d9b,f,t
ffa3ee95fa8839d47e7103c8ea7e6411,f,t
ffa290585ed17183e2761e40be621a17,f,t
ffa21a02b51ebf76ed9f9b9c68236297,f,t
ffa2172e7e006d7371ce2f03f2ffc777,f,t
ffa1a300cc942f3ecd380eff80b3c63b,t,t
ff9f566a0af1b66de4161f919249ee43,f,t
